DLP-M24-LBProtrusion=238mm;DLP-M24-LBProtrusion=238mm;73269090;Z1022240L;1.05;PC;1547.14;0;2567;2518
DLP-M30-LBProtrusion=295mm;DLP-M30-LBProtrusion=295mm;73269090;Z1022300L;1.05;PC;3288.11;0;5455;5351
DLP-M36-LBProtrusion=295mm;DLP-M36-LBProtrusion=295mm;73269090;Z1022360L;1.05;PC;3862.51;0;6408;6286
DLP-M42-LBProtrusion=293mm;DLP-M42-LBProtrusion=293mm;73269090;Z1022420L;1.05;PC;6964.78;0;11555;11335
DLP-M48-LBProtrusion=293mm;DLP-M48-LBProtrusion=293mm;73269090;Z1022480L;1.05;PC;7747.24;0;12853;12609
DLP-5/16-18UNC-LBProtrusion=;DLP-5/16-18UNC-LBProtrusion=;73269090;Z1023080L;1.05;PC;588.62;0;977;958
DLP-3/8-16UNC-LBProtrusion=;DLP-3/8-16UNC-LBProtrusion=;73269090;Z1023100L;1.05;PC;618.85;0;1027;1007
DLP-1/2-13UNC-LBProtrusion;DLP-1/2-13UNC-LBProtrusion;73269090;Z1023120L;1.05;PC;865.15;0;1435;1408
DLP-5/8-11UNC-LBProtrusion;DLP-5/8-11UNC-LBProtrusion;73269090;Z1023160L;1.05;PC;894.49;0;1484;1456
"DLP-3/4""-10UNC-LBProtrusion=198mm";"DLP-3/4""-10UNC-LBProtrusion=198mm";73269090;Z1023200L;1.05;PC;1.452;0;2409;2363
"DLP-7/8""-9UNC-LBProtrusion=238mm";"DLP-7/8""-9UNC-LBProtrusion=238mm";73269090;Z1023210L;1.05;PC;1517.79;0;2518;2470
"DLP-1""-8UNC-LBProtrusion=238mm";"DLP-1""-8UNC-LBProtrusion=238mm";73269090;Z1023240L;1.05;PC;1786.32;0;2964;2907
"DLP-11/4""-7UNC-LBProtrusion=295mm";"DLP-11/4""-7UNC-LBProtrusion=295mm";73269090;Z1023300L;1.05;PC;4083.91;0;6775;6647
"DLP-11/2""-6UNC-LBProtrusion=295mm";"DLP-11/2""-6UNC-LBProtrusion=295mm";73269090;Z1023360L;1.05;PC;6540.66;0;10851;10645
"DLP13/4""-5UNC-LBProtrusioin=293mm";"DLP13/4""-5UNC-LBProtrusioin=293mm";73269090;Z1023420L;1.05;PC;7421.81;0;12313;12079
"DLP2""-4.5UNC-LBProtrusion=293mm";"DLP2""-4.5UNC-LBProtrusion=293mm";73269090;Z1023480L;1.05;PC;7641.43;0;12677;12436
ELP-M20-8;ELP-M20-8EYELIFTINGPOINTClassic;73269090;Z100435;1.05;PC;246.17;58;408;401
ELP-M24-8;ELP-M24-8EYELIFTINGPOINTClassic;73269090;Z100436;1.05;PC;304.73;69;506;496
RDDLPM8LBProtrusion=97,5mm;RDDLPM8LBProtrusion=97,5mm;73269090;Z10220801L;1.05;PC;173.02;0;287;282
RDDLP-M8x1,25;RDDLP-M8x1,25;73269090;Z1022081;1.05;PC;92.26;0;153;150
RDDLPM10LBProtrusion=97,5mm;RDDLPM10LBProtrusion=97,5mm;73269090;Z10221001L;1.05;PC;170.99;0;284;278
RDDLP-M10x1,5;RDDLP-M10x1,5;73269090;Z1022101;1.05;PC;96.27;0;160;157
RDDLPM12LBProtrusion=118mm;RDDLPM12LBProtrusion=118mm;73269090;Z10221201L;1.05;PC;432.04;0;717;703
RDDLP-M12x1,75;RDDLP-M12x1,75;73269090;Z1022121;1.05;PC;100.46;0;167;163
RDDLPM16LBProtrusion=158mm;RDDLPM16LBProtrusion=158mm;73269090;Z10221601L;1.05;PC;474.54;0;787;772
RDDLP-M16x2;RDDLP-M16x2;73269090;Z1022161;1.05;PC;105.23;0;175;171
RDDLPM20LBProtrusion=198mm;RDDLPM20LBProtrusion=198mm;73269090;Z10222001L;1.05;PC;818.55;0;1358;1332
RDDLP-M20x2,5;RDDLP-M20x2,5;73269090;Z1022201;1.05;PC;166.55;0;276;271
RDDLPM24LBProtrusion=238mm;RDDLPM24LBProtrusion=238mm;73269090;Z10222401L;1.05;PC;974.37;0;1616;1586
RDDLP-M24x3;RDDLP-M24x3;73269090;Z1022241;1.05;PC;173.79;0;288;283
RDDLPM30LBProtrusion=295mm;RDDLPM30LBProtrusion=295mm;73269090;Z10223001L;1.05;PC;2342.32;0;3886;3812
RDDLP-M30;RDDLP-M30;73269090;Z1022301;1.05;PC;520.88;0;864;848
RDDLPM36LBProtrusion=295mm;RDDLPM36LBProtrusion=295mm;73269090;Z10223601L;1.05;PC;2605.39;0;4322;4240
RDDLP-M36;RDDLP-M36;73269090;Z1022361;1.05;PC;540.05;0;896;879
RDDLPM42LBProtrusion=293mm;RDDLPM42LBProtrusion=293mm;73269090;Z10224201L;1.05;PC;4292.06;0;7121;6985
RDDLP-M42;RDDLP-M42;73269090;Z1022421;1.05;PC;1331.31;0;2209;2167
RDDLPM48LBProtrusion=293mm;RDDLPM48LBProtrusion=293mm;73269090;Z10224801L;1.05;PC;4673.51;0;7753;7606
RDDLP-M48;RDDLP-M48;73269090;Z1022481;1.05;PC;1409.34;0;2338;2294
"RDDLPUNC5/16""LBProtrusion=97,5mm";"RDDLPUNC5/16""LBProtrusion=97,5mm";73269090;Z10230801L;1.05;PC;149.75;0;248;244
"RDDLPUNC5/16""";"RDDLPUNC5/16""";73269090;Z1023081;1.05;PC;65.77;0;109;107
"RDDLPUNC3/8""LBProtrusion=97,5mm";"RDDLPUNC3/8""LBProtrusion=97,5mm";73269090;Z10231001L;1.05;PC;145.7;0;242;237
"RDDLPUNC3/8""";"RDDLPUNC3/8""";73269090;Z1023101;1.05;PC;67.79;0;112;110
