id,codigo,ref_prod,desc_prod,qtde
2976,COE790004-3,"CO 4T X 3M","CINTA CO 4T X 3M",1.00
2977,13668,"CO 1TX2M","CINTA CO 1TX2M SCANIA",0.00
2978,3215,"LR 1TX1MX0,50M","CINTA LR 1TX1MX0,50M",6.00
2979,"COE790002-4,5","CO 2TX4,5M","CINTA CO 2TX4,5M",0.00
2980,H000529,HSB10.8,"GANCHO KWB-HSB10.8",4.00
2981,1258142,"A347 28/22MM - 14,5T","ANEL DE CARGA A347 28/22MM - 14,5T",4.00
2982,22300Z-10X4,"CO 10TX4M","CINTA CO 10TX4M",0.00
2983,MCP51980.5G,"MANILHA G-4163-0,5T","MANILHA G-4163-0,5T",1.00
2984,H000426,KWB-G10.8,"ELO KWB-G10.8",0.00
2985,Z101281,MT-22-10,"ANEL MT-22-10",4.00
2986,M37P302,"CO 3TX2M","CINTA CO 3TX2M",1.00
2987,Z101274,M-13-10,"ANEL M-13-10",5.00
2988,G005627427,"PEGA-CHAPAS VERT TSEU 2000KG 0-35MM","PEGA-CHAPAS VERT TSEU 2000KG 0-35MM",3.00
2989,G005627584,"PEGA CHAPAS HOR 3T FHX 0-60","PEGA CHAPAS HOR 3T FHX 0-60",4.00
2990,COE790010-2,"CO 1TX2M","CINTA CO 1TX2M",2.00
2991,COE790010-7,"CO 1TX7M","CINTA CO 1TX7M",0.00
2992,CJA600050950050,"CONJUNTO DE AMARRACAO 50MMX9,50MX0,50M - 5T - "J"","CONJUNTO DE AMARRACAO 50MMX9,50MX0,50M - 5T - "J"",3.00
2993,B86HA1008,"ANEL MASTER LINK 18X75X135 G8 3,15T","ANEL MASTER LINK 18X75X135 G8 3,15T IGUAL MF-108-8 COLUNGUS",28.00
2994,1258402,"A347 45X340X180 / 36X285X155","A347 45X340X180 / 36X285X155 (EQUIVALENTE M6-20-10)",0.00
2995,Z201600,MT-16-10,"ANEL MT-16-10",2.00
