ref_prod;desc_prod;ncm;sap;ipi;tipo; valor_custo ;carga_trabalho;comprimento;valor_venda
S-2145 175T ;MANILHA CROSBY S-2145 175 TN;73269090;1205090;1.05;UN;19165.78;0;0;31796
"3.25T RS BLT SHK 1""";"3.25T RS BLT SHK 1""";73269090;1020485;1.05;UN;221.88;0;0;368
"6.50 RS BLT SHK1.5""";"6.50 RS BLT SHK1.5""";73269090;1020496;1.05;UN;398.32;0;0;661
"8.75T RS BLT SHK 2""";"8.75T RS BLT SHK 2""";73269090;1020507;1.05;UN;518.16;0;0;860
"12.50 RS BLT SHK 3""";"12.50 RS BLT SHK 3""";73269090;1020518;1.05;UN;979.67;0;0;1625
"20.50 RS BLT SHK 4""";"20.50 RS BLT SHK 4""";73269090;1020529;1.05;UN;1833.06;0;0;3041
"35.00 RS BLT SHK 5""";"35.00 RS BLT SHK 5""";73269090;1020540;1.05;UN;4564.73;0;0;7573
"50.00 RS BLT SHK 6""";"50.00 RS BLT SHK 6""";73269090;1020551;1.05;UN;9531.71;0;0;15813
"3.25T RS SPN SHK 1""";"3.25T RS SPN SHK 1""";73269090;1020575;1.05;UN;237.51;0;0;394
"6.50 RS SPN SHK1.5""";"6.50 RS SPN SHK1.5""";73269090;1020584;1.05;UN;319.82;0;0;531
"8.75T RS SPN SHK 2""";"8.75T RS SPN SHK 2""";73269090;1020593;1.05;UN;345.94;0;0;574
"12.50 RS SPN SHK 3""";"12.50 RS SPN SHK 3""";73269090;1020602;1.05;UN;887.51;0;0;1472
"20.50 RS SPN SHK 4""";"20.50 RS SPN SHK 4""";73269090;1020611;1.05;UN;1584.82;0;0;2629
"SPOOL F S252/3   1""";"SPOOL F S252/3   1""";73269090;1020903;1.05;UN;87.94;0;0;146
"SPOOL F S252/3 1.5""";"SPOOL F S252/3 1.5""";73269090;1020912;1.05;UN;174.68;0;0;290
"SPOOL F S252/3   2""";"SPOOL F S252/3   2""";73269090;1020921;1.05;UN;214.69;0;0;356
"SPOOL F S252/3   3""";"SPOOL F S252/3   3""";73269090;1020930;1.05;UN;166.75;0;0;277
"SPOOL F S252/3   4""";"SPOOL F S252/3   4""";73269090;1020939;1.05;UN;252.98;0;0;420
"LNK PLT F S252/3 1""";"LNK PLT F S252/3 1""";73269090;1020785;1.05;UN;749.74;0;0;1244
"LNK PLT F S252 1.5""";"LNK PLT F S252 1.5""";73269090;1020796;1.05;UN;802.62;0;0;1332
"LNK PLT F S252/3 2""";"LNK PLT F S252/3 2""";73269090;1020807;1.05;UN;821.39;0;0;1363
"LNK PLT F S252/3 3""";"LNK PLT F S252/3 3""";73269090;1020818;1.05;UN;1315.24;0;0;2182
"LNK PLT F S252/3 4""";"LNK PLT F S252/3 4""";73269090;1020829;1.05;UN;1047;0;0;1737
"LNK PLT F S252/3 5""";"LNK PLT F S252/3 5""";73269090;1020840;1.05;UN;1985.4;0;0;3294
"LNK PLT F S252/3 6""";"LNK PLT F S252/3 6""";73269090;1020851;1.05;UN;5510.03;0;0;9141
3.25TN WEB SHKL    ;3.25TN WEB SHKL    ;73269090;1021048;1.05;UN;190.37;0;0;316
4.50TN WEB SHKL    ;4.50TN WEB SHKL    ;73269090;1021057;1.05;UN;250.36;0;0;415
6.25TN WEB SHKL    ;6.25TN WEB SHKL    ;73269090;1021066;1.05;UN;345.94;0;0;574
8.50TN WEB SHKL    ;8.50TN WEB SHKL    ;73269090;1021075;1.05;UN;505.7;0;0;839
3.25T SPOOL/COVER  ;3.25T SPOOL/COVER  ;73269090;1021820;1.05;UN;177.25;0;0;294
4.50T SPOOL/COVER  ;4.50T SPOOL/COVER  ;73269090;1021821;1.05;UN;1120.74;0;0;1859
6.25T SPOOL/COVER  ;6.25T SPOOL/COVER  ;73269090;1021822;1.05;UN;191.84;0;0;318
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
