ref_prod;desc_prod;ncm;sap;ipi;tipo; valor_custo ;carga_trabalho;comprimento;valor_venda
" G-213 75T RPA SHK 5/16""";" .75T RPA SHK 5/16""";73269090;1018035;1.05;UN;84.02;0.75;53;139
" G-213 1.00T RPA SHK  3/8""";"1.00T RPA SHK  3/8""";73269090;1018053;1.05;UN;68.42;1;63;114
" G-213 1.50T RPA SHK 7/16""";"1.50T RPA SHK 7/16""";73269090;1018071;1.05;UN;71.44;1.5;74;119
" G-213 2.00T RPA SHK  1/2""";"2.00T RPA SHK  1/2""";73269090;1018099;1.05;UN;96.6;2;83.5;160
" G-213 3.25T RPA SHK  5/8""";"3.25T RPA SHK  5/8""";73269090;1018115;1.05;UN;162.83;3.25;106;270
" G-213 4.75T RPA SHK  3/4""";"4.75T RPA SHK  3/4""";73269090;1018133;1.05;UN;225.77;4.75;126;375
" G-213 6.50T RPA SHK  7/8""";"6.50T RPA SHK  7/8""";73269090;1018151;1.05;UN;351.93;6.5;148;584
 G-213 8.50T RPA SHK  1IN ;8.50T RPA SHK  1IN ;73269090;1018179;1.05;UN;482.18;8.5;167;800
" G-213 9.50T RPA SHK1-1/8""";"9.50T RPA SHK1-1/8""";73269090;1018197;1.05;UN;622.3;9.5;190;1032
" G-213 12T RPA SHK  1-1/4""";"12T RPA SHK  1-1/4""";73269090;1018213;1.05;UN;877.7;12;210;1456
" G-213 13.5T RPA SHK1-3/8""";"13.5T RPA SHK1-3/8""";73269090;1018231;1.05;UN;1661.49;13.5;233;2756
" G-213 17T RPA SHK  1-1/2""";"17T RPA SHK  1-1/2""";73269090;1018259;1.05;UN;1355.34;17;254;2249
" G-213 25T RPA SHK  1-3/4""";"25T RPA SHK  1-3/4""";73269090;1018277;1.05;UN;2999.43;25;313;4976
G-213 35T RPA SHK    2IN ;35T RPA SHK    2IN ;73269090;1018295;1.05;UN;3641.35;35;348;6041
G-2130 0.33T ;MANILHA CROSBY G-2130 0.33 TN;73269090;1019464;1.05;UN;84.97;0.33;37.3;141
G-2130 0.50T ;MANILHA CROSBY G-2130 0.50 TN;73269090;1019466;1.05;UN;55.02;0.5;46.7;91
G-2130 0.75T ;MANILHA CROSBY G-2130 .75 TN;73269090;1019468;1.05;UN;55.86;0.75;53;93
G-2130 1T ;MANILHA CROSBY G-2130 1.00 TN;73269090;1019470;1.05;UN;69.97;1;63;116
G-2130 1.50T ;MANILHA CROSBY G-2130 1.50 TN;73269090;1019471;1.05;UN;79.93;1.5;74;133
G-2130 2T ;MANILHA CROSBY G-2130 1.50 TN;73269090;1019471;1.05;UN;79.93;2;83.5;133
G-2130 3,25T ;MANILHA CROSBY G-2130 2.00 TN;73269090;1019472;1.05;UN;89.82;3.25;106;149
G-2130 35T ;MANILHA CROSBY G-2130 35.00 TN;73269090;1019677;1.05;UN;2973.77;35;348;4933
G-2130 55T ;MANILHA CROSBY G-2130 55.00 TN;73269090;1019695;1.05;UN;6092.66;55;453;10108
G-2130 85T ;MANILHA CROSBY G-2130 85.00 TN;73269090;1019711;1.05;UN;20698.78;85;546;34339
G-2130 120T ;MANILHA CROSBY G-2130 120.00 TN;73269090;1019739;1.05;UN;44005.14;120;626;73005
G-2130 150T ;MANILHA CROSBY G-2130 150.00 TN;73269090;1019757;1.05;UN;61290.07;150;653;101680
"G-2130A 2.00T ABT SHK  1/2""";"2.00T ABT SHK  1/2""";73269090;1219472;1.05;UN;215.95;2;83.5;358
"G-2130A 3.25T ABT SHK  5/8""";"3.25T ABT SHK  5/8""";73269090;1219491;1.05;UN;231.4;3.25;106;384
"G-2130A 4.75T ABT SHK  3/4""";"4.75T ABT SHK  3/4""";73269090;1219516;1.05;UN;327.93;4.75;126;544
"G-2130A 6.50T ABT SHK  7/8""";"6.50T ABT SHK  7/8""";73269090;1219534;1.05;UN;491.89;6.5;148;816
G-2130A 8.50T ABT SHK  1IN ;8.50T ABT SHK  1IN ;73269090;1219552;1.05;UN;624.61;8.5;167;1036
"G-2130A 9.50T ABT SHK1-1/8""";"9.50T ABT SHK1-1/8""";73269090;1219578;1.05;UN;817.29;9.5;190;1356
"G-2130A 12T ABT SHK  1-1/4""";"12T ABT SHK  1-1/4""";73269090;1219598;1.05;UN;1073.62;12;210;1781
"G-2130A 13.5T ABT SHK1-3/8""";"13.5T ABT SHK1-3/8""";73269090;1219614;1.05;UN;2527.75;13.5;233;4194
"G-2130A 17T ABT SHK1-1/2""  ";"17T ABT SHK1-1/2""  ";73269090;1219632;1.05;UN;3130.39;17;254;5193
G-2130C T4.75T;4.75T ABT SHK CT   ;73269090;1260568;1.05;UN;2755.02;4.75;126;4571
G-2130C 6.50T;6.50T ABT SHK CT   ;73269090;1260577;1.05;UN;2803.96;6.5;148;4652
G-2130C 8.50T;8.50T ABT SHK CT   ;73269090;1260586;1.05;UN;2959.72;8.5;167;4910
G-2130C 9.50T;9.50T ABT SHK CT   ;73269090;1260595;1.05;UN;4051.09;9.5;190;6721
G-2130C 12T;12.00T ABT SHK CT  ;73269090;1260604;1.05;UN;5172.68;12;210;8581
G-2130C 13.50T;13.50T ABT SHK CT  ;73269090;1260613;1.05;UN;6880.16;13.5;233;11414
G-2130C 17T;17.00T ABT SHK CT  ;73269090;1260622;1.05;UN;8596.02;17;254;14261
G-2130C 25T;25.00T ABT SHK CT  ;73269090;1260633;1.05;UN;12772.67;25;313;21190
G-2130 3.25T ;MANILHA CROSBY G-2130 3.25 TN;73269090;1262013;1.05;UN;130.63;3.25;106;217
G-2130 4.75T ;MANILHA CROSBY G-2130 4.75 TN;73269090;1262022;1.05;UN;210.96;4.75;126;350
G-2130 6.50T ;MANILHA CROSBY G-2130 6.50 TN;73269090;1262031;1.05;UN;276.29;6.5;148;458
G-2130 8.50T ;MANILHA CROSBY G-2130 8.50 TN;73269090;1262040;1.05;UN;437.01;8.5;167;725
G-2130 9.50T ;MANILHA CROSBY G-2130 9.50 TN;73269090;1262059;1.05;UN;603.34;9.5;190;1001
G-2130 12T ;MANILHA CROSBY G-2130 12.00 TN;73269090;1262068;1.05;UN;780.69;12;210;1295
G-2130 13.50T ;MANILHA CROSBY G-2130 13.50 TN;73269090;1262077;1.05;UN;988.55;13.5;233;1640
G-2130 17T ;MANILHA CROSBY G-2130 17.00 TN;73269090;1262086;1.05;UN;1281.54;17;254;2126
G-2130 25T ;MANILHA CROSBY G-2130 25.00 TN;73269090;1262095;1.05;UN;2271.26;25;313;3768
G-2140 2T;MANILHA CROSBY G-2140 2.00 TN;73269090;1021015;1.05;UN;176.11;2;63.2;292
G-2140 2.67T ;MANILHA CROSBY G-2140 2.67 TN;73269090;1021020;1.05;UN;305.92;2.67;73.9;508
G-2140 3.33T ;MANILHA CROSBY G-2140 3.33 TN;73269090;1021029;1.05;UN;320.95;3.33;83.3;532
G-2140 5T ;MANILHA CROSBY G-2140 5.00 TN;73269090;1021038;1.05;UN;363.02;5;106.4;602
G-2140 7T ;MANILHA CROSBY G-2140 7.00 TN;73269090;1021047;1.05;UN;414.54;7;126.2;688
G-2140 9.50T ;MANILHA CROSBY G-2140 9.50 TN;73269090;1021056;1.05;UN;505.89;9.5;148.1;839
G-2140 12.50T ;MANILHA CROSBY G-2140 12.50 TN;73269090;1021065;1.05;UN;659.38;12.5;166.6;1094
G-2140 15T ;MANILHA CROSBY G-2140 15.00 TN;73269090;1021074;1.05;UN;851.97;15;189.7;1413
G-2140 18T ;MANILHA CROSBY G-2140 18.00 TN;73269090;1021083;1.05;UN;1101.35;18;209.6;1827
G-2140 21T ;MANILHA CROSBY G-2140 21.00 TN;73269090;1021092;1.05;UN;1696.8;21;232.7;2815
G-2140 30T ;MANILHA CROSBY G-2140 30.00 TN;73269090;1021110;1.05;UN;2152.29;30;254;3571
G-2140 40T ;MANILHA CROSBY G-2140 40.00 TN;73269090;1021138;1.05;UN;3064.72;40;313;5084
G-2140 55T ;MANILHA CROSBY G-2140 55.00 TN;73269090;1021156;1.05;UN;5067.56;55;347;8407
G-2140 85T ;MANILHA CROSBY G-2140 85.00 TN;73269090;1021174;1.05;UN;9853.08;85;455;16346
G-2140 120T ;MANILHA CROSBY G-2140 120.00 TN;73269090;1021192;1.05;UN;19944.88;120;546;33089
G-2140 150T ;MANILHA CROSBY G-2140 150.00 TN;73269090;1021218;1.05;UN;46142.42;150;632;76550
G-2140 175T ;MANILHA CROSBY G-2140 175.00 TN;73269090;1021236;1.05;UN;64050.41;175;652;106260
G-2140 400T ;MANILHA CROSBY G-2140 400.00 TN;73269090;1021478;1.05;UN;220712.56;400;1022;366162
G-2140BNC 200T;MANILHA CROSBY G-2140 200.00 TN;73269090;1021234;1.05;UN;71103.06;0;0;117960
G-2140BNC 250T;MANILHA CROSBY G-2140 250.00 TN;73269090;1021243;1.05;UN;90962.25;0;0;150906
G-2140BNC 300T;MANILHA CROSBY G-2140 300.00 TN;73269090;1021252;1.05;UN;135763.39;0;0;225231
G-2140CT 30T;30T AL ABT SHK CT  ;73269090;1260801;1.05;UN;12036.1;0;0;19968
G-2140CT 40T;40T AL ABT SHK CT  ;73269090;1260812;1.05;UN;24356.79;0;0;40408
G-2140CT 55T;55T AL ABT SHK CT  ;73269090;1260823;1.05;UN;33597.3;0;0;55738
G-2140CT 85T;85T AL ABT SHK CT  ;73269090;1260834;1.05;UN;53702.11;0;0;89092
G-2140CT 120T;120T AL ABT SHK CT ;73269090;1260843;1.05;UN;73564.19;0;0;122043
G-2140CT 150T;150T AL ABT SHK CT ;73269090;1260852;1.05;UN;164286.94;0;0;272552
G-2140CT 175T;175T AL ABT SHK CT ;73269090;1260861;1.05;UN;178666.65;0;0;296408
G-2140CT 200T;200T AL ABT SHK CT ;73269090;1260870;1.05;UN;245861.25;0;0;407884
G-2140CT 250T;250T AL ABT SHK CT ;73269090;1260889;1.05;UN;296525.04;0;0;491935
G-2140E 200T;MANILHA CROSBY G-2140E 200.00 TN;73269090;1021475;1.05;UN;71339.17;0;0;118352
G-2140E 250T ;MANILHA CROSBY G-2140E 250.00 TN;73269090;1021484;1.05;UN;76245.54;0;0;126491
G-2140E 300T;MANILHA CROSBY G-2140E 300.00 TN;73269090;1021493;1.05;UN;145759.92;0;0;241816
"G-215 75T 5/16""";" .75T RPC SHK 5/16""";73269090;1018838;1.05;UN;57.36;0;0;95
"G-215 1T 3/8""";"1.00T RPC SHK  3/8""";73269090;1018856;1.05;UN;69.06;0;0;115
"G-215  1.50T 7/16""";"1.50T RPC SHK 7/16""";73269090;1018874;1.05;UN;88.67;0;0;147
"G-215 2.00T 1/2""";"2.00T RPC SHK  1/2""";73269090;1018892;1.05;UN;93.83;0;0;156
"G-215 3.25T 5/8""";"3.25T RPC SHK  5/8""";73269090;1018918;1.05;UN;143.21;0;0;238
"G-215 4.75T 3/4""";"4.75T RPC SHK  3/4""";73269090;1018936;1.05;UN;344.43;0;0;571
"G-215 6.50T 7/8""";"6.50T RPC SHK  7/8""";73269090;1018954;1.05;UN;560.79;0;0;930
G-215 8.50T 1IN ;8.50T RPC SHK  1IN ;73269090;1018972;1.05;UN;489.7;0;0;812
"G-215 12T 1-1/4""";"12T RPC SHK  1-1/4""";73269090;1019016;1.05;UN;1093.26;0;0;1814
"G-215 13.5T 1-3/8""";"13.5T RPC SHK1-3/8""";73269090;1019034;1.05;UN;1845.13;0;0;3061
"G-215 17T 1-1/2""";"17T RPC SHK  1-1/2""";73269090;1019052;1.05;UN;1421.1;0;0;2358
"G-215 25T 1-3/4""";"25T RPC SHK  1-3/4""";73269090;1019070;1.05;UN;3305.49;0;0;5484
G-2150 0.50 ;MANILHA CROSBY G-2150 0.50 TN;73269090;1019768;1.05;UN;80.28;0;0;133
G-2150 0.75 ;MANILHA CROSBY G-2150 0.75 TN;73269090;1019770;1.05;UN;86.23;0;0;143
