ref_prod;desc_prod;ncm;sap;ipi;tipo; valor_custo ;carga_trabalho;cumprimento;valor_venda
M3 CAMERA;M3 CAMERA SYSTEM   ;85256090;7380001;1;PC; 118498.27 ;1;1;187227
G-277 3/8 X 2-1/2;G277 SHOULDER NUT EYE BOLT 3/8 X 2-1/2;73269090;1045096;1.05;PC; 448.62 ;1;1;744
G-277 3/8 X 4-1/2;G277 SHOULDER NUT EYE BOLT 3/8 X 4-1/2;73269090;1045112;1.05;PC; 569.08 ;1;1;944
G-277 1/2 X 3-1/4;G277 SHOULDER NUT EYE BOLT 1/2 X 3-1/4;73269090;1045130;1.05;PC; 471.15 ;1;1;782
G-277 1/2 X 6;G277 SHOULDER NUT EYE BOLT 1/2 X 6;73269090;1045158;1.05;PC; 498.4 ;1;1;827
G-277 5/8 X 4;G277 SHOULDER NUT EYE BOLT 5/8 X 4;73269090;1045176;1.05;PC; 515.95 ;1;1;856
G-277 5/8 X 6;G277 SHOULDER NUT EYE BOLT 5/8 X 6;73269090;1045194;1.05;PC; 515.89 ;1;1;856
G-277 3/4 X 4-1/2;G277 SHOULDER NUT EYE BOLT 3/4 X 4-1/2;73269090;1045210;1.05;PC; 567.07 ;1;1;941
G-277 3/4 X 6;G277 SHOULDER NUT EYE BOLT 3/4 X 6;73269090;1045238;1.05;PC; 722.64 ;1;1;1199
G-277 7/8 X 5;G277 SHOULDER NUT EYE BOLT 7/8 X 5;73269090;1045256;1.05;PC; 960.76 ;1;1;1594
G-277 1 X 6;G277 SHOULDER NUT EYE BOLT 1 X 6;73269090;1045292;1.05;PC; 1030.63 ;1;1;1710
G-277 1 X 9;G277 SHOULDER NUT EYE BOLT 1 X 9;73269090;1045318;1.05;PC; 1216.67 ;1;1;2018
G-277 1-1/4X8;1-1/4X8 S E BOLT   ;73269090;1045336;1.05;PC; 1173.2 ;1;1;1946
G-277 1-1/4X12;1-1/4X12 S E BOLT  ;73269090;1045354;1.05;PC; 1284.44 ;1;1;2131
G-277 1-1/4X15;1-1/2X15 S E BOLT  ;73269090;1045372;1.05;PC; 1744.34 ;1;1;2894
G-291 1/2X15;1/2X12 R E BOLT    ;73269090;1043454;1.05;PC; 257.28 ;1;1;427
G-291 1/4X20;1-1/4X20 RE BOLT   ;73269090;1043873;1.05;PC; 1496.68 ;1;1;2483
G-400 1/4;G400 EYE NUT 1/4  1;73269090;1090438;1.05;PC; 638.33 ;1;1;1059
G-400 3/8;G400 EYE NUT 3/8  2;73269090;1090474;1.05;PC; 464.56 ;1;1;771
G-400 1/2;G400 EYE NUT 1/2  3A;73269090;1090517;1.05;PC; 406.76 ;1;1;675
G-400 5/8;G400 EYE NUT 5/8  4;73269090;1090535;1.05;PC; 473.49 ;1;1;786
G-400 3/4;G400 EYE NUT 3/4  5;73269090;1090553;1.05;PC; 518.8 ;1;1;861
G-400 7/8;G400 EYE NUT 7/8  6;73269090;1090571;1.05;PC; 555.55 ;1;1;922
G-400 1;G400 EYE NUT 1  7;73269090;1090599;1.05;PC; 1035.1 ;1;1;1717
G-400 1-1/4;G400 EYE NUT 1-1/4  8;73269090;1090633;1.05;PC; 1074.35 ;1;1;1782
G-400 1.38T;  9  EYE NT 1.38TAP;73269090;1090651;1.05;PC; 1199.32 ;1;1;1990
G-400 1.50T; 10  EYE NT 1.50TAP;73269090;1090679;1.05;PC; 1449.8 ;1;1;2405
G-400 2.00T; 11  EYE NT 2.00TAP;73269090;1090697;1.05;PC; 2456.3 ;1;1;4075
HR1000;HR1000 800LB HOIST RING 5/16-18 X 1.50;73269090;1068002;1.05;PC; 983.86 ;1;1;1632
HR1000;HR1000 2500LB HOIST RING 1/2-13 X 2.25;73269090;1068010;1.05;PC; 1409.44 ;1;1;2338
HR1000;HR1000 2500LB HOIST RING 1/2-13 X 2.75;73269090;1068014;1.05;PC; 1412.11 ;1;1;2343
HR1000;HR1000 4000LB HOIST RING 5/8-11 X 3.00;73269090;1068022;1.05;PC; 1440.18 ;1;1;2389
HR1000;HR1000 5000LB HOIST RING 3/4-10 X 3.00;73269090;1068030;1.05;PC; 1485.98 ;1;1;2465
HR1000;HR1000 10000LB HOIST RING 1-8 X 4.50;73269090;1068054;1.05;PC; 3111.24 ;1;1;5162
HR1000  ;H RNG  1000 3/8X1.5;73269090;1068006;1.05;PC; 912.65 ;1;1;1514
HR1000  ;H RNG 4000 5/8X2.25;73269090;1068018;1.05;PC; 1330.38 ;1;1;2207
HR1000  ;H RNG 5000 3/4X2.50;73269090;1068026;1.05;PC; 1419.07 ;1;1;2354
HR1000  ;H RNG 7000 3/4X3.00;73269090;1068034;1.05;PC; 2441.19 ;1;1;4050
HR1000  ;H RNG 7000 3/4X3.50;73269090;1068038;1.05;PC; 2441.19 ;1;1;4050
HR1000  ;H RNG 8000 7/8X3.00;73269090;1068042;1.05;PC; 2441.19 ;1;1;4050
HR1000  ;H RNG 8000 7/8X3.50;73269090;1068046;1.05;PC; 2441.19 ;1;1;4050
HR1000  ;"H RNG 10000 1""X3.50";73269090;1068050;1.05;PC; 2518.94 ;1;1;4179
HR1000  ;H RNG 7.5T 1.25X5.0;73269090;1068058;1.05;PC; 4116.04 ;1;1;6829
HR1000  ;H RNG  12T 1.5X5.50;73269090;1068062;1.05;PC; 4702.86 ;1;1;7802
HR1000CT;HRNG 20000 1.50X5.5;73269090;6607669;1.05;PC; 16665.86 ;1;1;27649
HR1000CT;HRNG 28000  2X7.50 ;73269090;6607670;1.05;PC; 43353.54 ;1;1;71924
HR1000CT;HR1000CT 45000LB HOIST RING 2.5-4 X 9.5;73269090;6607671;1.05;PC; 67172.97 ;1;1;111440
HR1000CT;HR1000CT 20000LB HOIST RING 1.50-8 X 5.5;73269090;6607727;1.05;PC; 12349.42 ;1;1;20488
HR1000CT;HR1000CT 1900LB HOIST RING 1/2-13 X 2.25;73269090;6608103;1.05;PC; 3152.42 ;1;1;5230
HR1000CT;H RNG 1900 1/2X2.75;73269090;6608112;1.05;PC; 5929.33 ;1;1;9837
HR1000CT;H RNG 3000 5/8X2.25;73269090;6608121;1.05;PC; 6194.74 ;1;1;10277
HR1000CT;H RNG 4800 3/4X3.00;73269090;6608130;1.05;PC; 6678.57 ;1;1;11080
HR1000CT;H RNG 6200 7/8X3.00;73269090;6608139;1.05;PC; 14043.97 ;1;1;23299
HR1000CT;H RNG 8300  1X3.50 ;73269090;6608148;1.05;PC; 13976.63 ;1;1;23187
HR1000CT;H RNG 12500 1.25X5 ;73269090;6608149;1.05;PC; 14371.02 ;1;1;23842
HR1000CT;RNG HST HR-1000CT 20KLB 1.5X4.41 ET1.5;73269090;6617331;1.05;PC; 12125.54 ;1;1;20116
HR1000CT;RNG HST HR1000 CT 1900LB .5X3.56 ET2.0;73269090;6617350;1.05;PC; 6145.82 ;1;1;10196
HR1000M ;HST RNG 8MM   .4 MT;73269090;1068307;1.05;PC; 1068.5 ;1;1;1773
HR1000M ;HST RNG 10MM  .45MT;73269090;1068316;1.05;PC; 1096.58 ;1;1;1819
HR1000M ;HST RNG 12MM 1.05MT;73269090;1068325;1.05;PC; 1433.62 ;1;1;2378
HR1000M ;HST RNG 16MM  1.9MT;73269090;1068334;1.05;PC; 1475.59 ;1;1;2448
HR1000M ;HST RNG 20MM 2.15MT;73269090;1068343;1.05;PC; 2849.96 ;1;1;4728
HR1000M ;HST RNG 20MM  3.0MT;73269090;1068352;1.05;PC; 2907.77 ;1;1;4824
HR1000M ;HST RNG 24MM  4.2MT;73269090;1068361;1.05;PC; 4853.73 ;1;1;8052
HR1000M ;HST RNG 30MM  7.0MT;73269090;1068370;1.05;PC; 5070.64 ;1;1;8412
HR1000M ;HST RNG 36MM 11.0MT;73269090;1068389;1.05;PC; 6437.72 ;1;1;10680
HR1000MC;H RNG 12MM 825 KG  ;73269090;6630058;1.05;PC; 6415.98 ;1;1;10644
HR1000MC;H RNG 16MM 1350 KG ;73269090;6630059;1.05;PC; 9234.39 ;1;1;15320
HR1000MC;H RNG 20MM 2250 KG ;73269090;6630060;1.05;PC; 14746.17 ;1;1;24464
HR1000MC;H RNG 24MM 3175 KG ;73269090;6630061;1.05;PC; 14371.02 ;1;1;23842
HR1000MC;H RNG 30MM 5450 KG ;73269090;6630062;1.05;PC; 23749.7 ;1;1;39401
HR1000MCT;HR1000MCT 7450KG HOIST RING M36-4.0X130;73269090;6630063;1.05;PC; 22965.36 ;1;1;38100
HR1000MCT;HR1000MCT 13250KG HOIST RING M48-5 X 180;73269090;6630064;1.05;PC; 40409.13 ;1;1;67039
HR1200  ;H RNG  650 5/16X1.5;73269090;1067700;1.05;PC; 1510.21 ;1;1;2505
HR1200  ;H RNG  800  3/8X1.5;73269090;1067704;1.05;PC; 1044.45 ;1;1;1733
HR1200  ;H RNG 2000  1/2X2.0;73269090;1067708;1.05;PC; 1808.4 ;1;1;3000
HR1200  ;H RNG 2000  1/2X2.5;73269090;1067712;1.05;PC; 1249.91 ;1;1;2074
HR1200  ;H RNG 3000  5/8X2.0;73269090;1067716;1.05;PC; 1668.68 ;1;1;2768
HR1200  ;H RNG 3000 5/8X2.75;73269090;1067720;1.05;PC; 2520.22 ;1;1;4181
HR1200  ;H RNG 5000 3/4X2.75;73269090;1067724;1.05;PC; 4415.19 ;1;1;7325
HR1200  ;H RNG 5000  3/4X3.5;73269090;1067728;1.05;PC; 3052.45 ;1;1;5064
HR1200  ;H RNG 6500 7/8X2.75;73269090;1067732;1.05;PC; 4944.25 ;1;1;8203
HR1200  ;H RNG 6500 7/8X3.50;73269090;1067736;1.05;PC; 3464.82 ;1;1;5748
HR1200  ;"H RNG 8000  1""X3.00";73269090;1067740;1.05;PC; 4166.44 ;1;1;6912
HR1200  ;"H RNG 8000  1""X4.00";73269090;1067744;1.05;PC; 4166.44 ;1;1;6912
HR1200  ;H RNG 7T 1.25-7X4.5;73269090;1067748;1.05;PC; 6466.65 ;1;1;10728
HR1200  ;H RNG8.6T 1.5-6X6.5;73269090;1067756;1.05;PC; 7428.78 ;1;1;12324
HR1200  ;H RNG 14.5T 2.0X6.5;73269090;1067764;1.05;PC; 8824.81 ;1;1;14640
HR1200M ;HST RNG  8MM   .3MT;73269090;1067803;1.05;PC; 1781.47 ;1;1;2955
HR1200M ;HST RNG 10MM   .4MT;73269090;1067807;1.05;PC;1.869;1;1;3101
HR1200M ;HST RNG 12MM  1.0MT;73269090;1067811;1.05;PC; 2164.31 ;1;1;3591
HR1200M ;HST RNG 16MM  1.4MT;73269090;1067815;1.05;PC; 2083.32 ;1;1;3456
HR1200M ;HST RNG 20MM 2.25MT;73269090;1067823;1.05;PC; 3703.47 ;1;1;6144
HR1200M ;HST RNG 24MM  3.5MT;73269090;1067827;1.05;PC; 4998.31 ;1;1;8292
HR1200M ;HST RNG 30MM 6.25MT;73269090;1067831;1.05;PC; 11668.04 ;1;1;19357
HR1200M ;HST RNG 36MM 7.75MT;73269090;1067835;1.05;PC; 12889.67 ;1;1;21384
HR1200M ;HST RNG 42MM 10.0MT;73269090;1067839;1.05;PC; 14476.83 ;1;1;24017
HR1200M ;HST RNG 48MM 13.0MT;73269090;1067843;1.05;PC; 16227.52 ;1;1;26921
HR125   ;H RNG  800 5/16X1.5;73269090;1016887;1.05;PC; 1229.04 ;1;1;2039
HR125   ;H RNG  1000 3/8X1.5;73269090;1016898;1.05;PC; 1229.04 ;1;1;2039
HR125   ;"H RNG   2500 1/2X2""";73269090;1016909;1.05;PC; 1482.99 ;1;1;2460
HR125   ;H RNG  2500 1/2X2.5;73269090;1016912;1.05;PC; 1482.99 ;1;1;2460
HR125   ;"H RNG  4000 5/8X2"" ";73269090;1016920;1.05;PC; 1504.63 ;1;1;2496
HR125   ;H RNG 4000 5/8X2.75;73269090;1016924;1.05;PC; 1504.63 ;1;1;2496
HR125   ;H RNG 5000 3/4X2.25;73269090;1016931;1.05;PC; 1504.63 ;1;1;2496
HR125   ;H RNG 5000 3/4X2.75;73269090;1016935;1.05;PC; 1504.63 ;1;1;2496
HR125   ;H RNG 7000 3/4X2.75;73269090;1016942;1.05;PC; 3129.38 ;1;1;5192
HR125   ;H RNG  7000 3/4X3.5;73269090;1016946;1.05;PC; 3269.46 ;1;1;5424
HR125   ;H RNG 8000 7/8X2.75;73269090;1016953;1.05;PC; 3129.38 ;1;1;5192
HR125   ;H RNG  8000 7/8X3.5;73269090;1016957;1.05;PC; 3129.38 ;1;1;5192
HR125   ;"H RNG 10000 1""X3.00";73269090;1016964;1.05;PC; 3205.61 ;1;1;5318
HR125   ;"H RNG 10000 1""X4.0 ";73269090;1016969;1.05;PC; 3205.61 ;1;1;5318
HR125   ;H RNG 7.5T 1.25X4.5;73269090;1016975;1.05;PC; 5601.19 ;1;1;9292
HR125   ;H RNG  12T 1.5X6.75;73269090;1016986;1.05;PC; 7660.22 ;1;1;12708
HR125   ;"H RNG  15T 2""X6.75 ";73269090;1016997;1.05;PC; 9034.6 ;1;1;14988
HR125   ;H RNG  25T 2.50X8.0;73269090;1017001;1.05;PC; 29357.67 ;1;1;48704
HR125   ;H RNG 37.5T 3.0X4.0;73269090;1017005;1.05;PC; 48942.27 ;1;1;81195
HR125   ;H RNG  50TN 3.50X4 ;73269090;1017009;1.05;PC; 248789.87 ;1;1;412742
HR125LB ;HRNG 800 5/16X1-5/8;73269090;2500100;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X1-3/4;73269090;2500109;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X1.875;73269090;2500118;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2    ;73269090;2500127;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 1/8;73269090;2500136;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 1/4;73269090;2500145;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 3/8;73269090;2500154;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 1/2;73269090;2500163;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 5/8;73269090;2500172;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 3/4;73269090;2500181;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X2 7/8;73269090;2500190;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3    ;73269090;2500199;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 1/8;73269090;2500208;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 1/4;73269090;2500217;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 3/8;73269090;2500226;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 1/2;73269090;2500235;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 5/8;73269090;2500244;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 3/4;73269090;2500253;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X3 7/8;73269090;2500262;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X4    ;73269090;2500271;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X4 1/8;73269090;2500280;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X4 1/4;73269090;2500289;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X4 3/8;73269090;2500298;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 800 5/16X4 1/2;73269090;2500307;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X1 5/8;73269090;2500316;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X1 3/4;73269090;2500325;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X1 7/8;73269090;2500334;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2    ;73269090;2500343;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 1/8;73269090;2500352;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 1/4;73269090;2500361;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 3/8;73269090;2500370;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 1/2;73269090;2500379;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 5/8;73269090;2500388;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 3/4;73269090;2500397;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X2 7/8;73269090;2500406;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3    ;73269090;2500415;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 1/8;73269090;2500424;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 1/4;73269090;2500433;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 3/8;73269090;2500442;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 1/2;73269090;2500451;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 5/8;73269090;2500460;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 3/4;73269090;2500469;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X3 7/8;73269090;2500478;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4    ;73269090;2500487;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 1/8;73269090;2500496;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 1/4;73269090;2500505;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 3/8;73269090;2500514;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 1/2;73269090;2500523;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 5/8;73269090;2500532;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 3/4;73269090;2500541;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X4 7/8;73269090;2500550;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5    ;73269090;2500559;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 1/8;73269090;2500568;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 1/4;73269090;2500577;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 3/8;73269090;2500586;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 1/2;73269090;2500595;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 5/8;73269090;2500604;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 3/4;73269090;2500613;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X5 7/8;73269090;2500622;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 1000 3/8X6    ;73269090;2500631;1.05;PC; 1849.76 ;1;1;3069
HR125LB ;HRNG 2500 1/2X2 1/8;73269090;2500640;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X2 1/4;73269090;2500649;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X2 3/8;73269090;2500658;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X2 5/8;73269090;2500667;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X2 3/4;73269090;2500676;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X2 7/8;73269090;2500685;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3    ;73269090;2500694;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 1/8;73269090;2500703;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 1/4;73269090;2500712;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 3/8;73269090;2500721;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 1/2;73269090;2500730;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 5/8;73269090;2500739;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 3/4;73269090;2500748;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X3 7/8;73269090;2500757;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4    ;73269090;2500766;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 1/8;73269090;2500775;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 1/4;73269090;2500784;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 3/8;73269090;2500793;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 1/2;73269090;2500802;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 5/8;73269090;2500811;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 3/4;73269090;2500820;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X4 7/8;73269090;2500829;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5    ;73269090;2500838;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 1/8;73269090;2500847;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 1/4;73269090;2500856;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 3/8;73269090;2500865;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 1/2;73269090;2500874;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 5/8;73269090;2500883;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 3/4;73269090;2500892;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X5 7/8;73269090;2500901;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6    ;73269090;2500910;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 1/8;73269090;2500919;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 1/4;73269090;2500928;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 3/8;73269090;2500937;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 1/2;73269090;2500946;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 5/8;73269090;2500955;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 3/4;73269090;2500964;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X6 7/8;73269090;2500973;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7    ;73269090;2500982;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 1/8;73269090;2500991;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 1/4;73269090;2501000;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 3/8;73269090;2501009;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 1/2;73269090;2501018;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 5/8;73269090;2501027;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 3/4;73269090;2501036;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X7 7/8;73269090;2501045;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8    ;73269090;2501054;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 1/8;73269090;2501063;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 1/4;73269090;2501072;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 3/8;73269090;2501081;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 1/2;73269090;2501090;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 5/8;73269090;2501099;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 3/4;73269090;2501108;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X8 7/8;73269090;2501117;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9    ;73269090;2501126;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 1/8;73269090;2501135;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 1/4;73269090;2501144;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 3/8;73269090;2501153;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 1/2;73269090;2501162;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 5/8;73269090;2501171;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 3/4;73269090;2501180;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X9 7/8;73269090;2501189;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X10   ;73269090;2501198;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 1/8;73269090;2501207;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 1/4;73269090;2501216;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 3/8;73269090;2501225;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 1/2;73269090;2501234;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 5/8;73269090;2501243;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 3/4;73269090;2501252;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X10 7/8;73269090;2501261;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG 2500 1/2X11   ;73269090;2501270;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X11.125;73269090;2501279;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X11 1/4;73269090;2501288;1.05;PC; 2231.64 ;1;1;3702
HR125LB ;HRNG2500 1/2X11 3/8;73269090;2501297;1.05;PC; 2231.64 ;1;1;3702
